feature,importance
age_of_car,27.773896636583846
policy_tenure,26.223770301064704
age_of_policyholder,24.238279027989993
area_cluster,10.325566046929769
population_density,9.878166442540326
height,0.2298118144246711
displacement,0.13075332112908822
model,0.129388261922667
gross_weight,0.11026117821570208
max_torque,0.10896893032152402
width,0.08377121187380804
length,0.07851677540917187
max_power,0.06481815683816028
turning_radius,0.06263966762999397
ncap_rating,0.06173720495376987
segment,0.05798839629219144
engine_type,0.053260539504959105
is_power_door_locks,0.04185623489230756
cylinder,0.03447634355846689
is_ecw,0.027703594488693684
make,0.024626134596253037
is_central_locking,0.022012451522718874
is_adjustable_steering,0.02147603212083222
is_driver_seat_height_adjustable,0.02107990687847893
fuel_type,0.018150118347818208
steering_type,0.017696012614333324
is_parking_camera,0.016920520780225042
airbags,0.014900102351246499
is_day_night_rear_view_mirror,0.014184016060501384
is_esc,0.014089636632148952
is_brake_assist,0.013450496651541593
is_rear_window_defogger,0.012085415421176677
transmission_type,0.010876877293814603
is_front_fog_lights,0.01070869346535588
is_rear_window_washer,0.009793066151142088
is_speed_alert,0.009321376953337093
is_rear_window_wiper,0.007436732742160198
rear_brakes_type,0.006007810015266255
is_parking_sensors,0.005501877410073567
gear_box,0.005333399804885505
is_power_steering,0.004512799771942965
is_tpms,0.00420643585092911
